Name,Category1,Category2,Color1,Color2,Shape,Size,,Target Scale
HarpYellow,music,school,yellow,,mix,large,,2.8
HeadphoneBlue,music,electronic,blue,,curved,medium,,1.8
HeadphoneGreen,music,electronic,green,,curved,medium,,1.8
HeadphoneGrey,music,electronic,grey,,curved,medium,,1.8
HeadphoneOrange,music,electronic,orange,,curved,medium,,1.8
HeadphonePink,music,electronic,pink,,curved,medium,,1.8
HeadphonePurple,music,electronic,purple,,curved,medium,,1.8
HeadphoneRed,music,electronic,red,,curved,medium,,1.8
HeadphoneYellow,music,electronic,yellow,,curved,medium,,1.8
KeyboardBlue,music,electronic,blue,colorful,flat,large,,2.7
KeyboardGreen,music,electronic,green,colorful,flat,large,,2.7
KeyboardGrey,music,electronic,grey,colorful,flat,large,,2.7
KeyboardOrange,music,electronic,orange,colorful,flat,large,,2.7
KeyboardPink,music,electronic,pink,colorful,flat,large,,2.7
KeyboardPurple,music,electronic,purple,colorful,flat,large,,2.7
KeyboardRed,music,electronic,red,colorful,flat,large,,2.7
KeyboardYellow,music,electronic,yellow,colorful,flat,large,,2.7
MaracasBlue,music,toy,blue,,sphere,small,,1.6
MaracasGreen,music,toy,green,,sphere,small,,1.6
MaracasRed,music,toy,red,colorful,sphere,small,,1.6
MaracasYellow,music,toy,yellow,orange,sphere,small,,1.6
MicrophoneBlue,music,electronic,blue,,cylinder,medium,,2
MicrophoneGreen,music,electronic,blue,,cylinder,medium,,2
MicrophoneOrange,music,electronic,orange,,cylinder,medium,,2
MicrophonePurple,music,electronic,purple,,cylinder,medium,,2
MicrophoneRed,music,electronic,red,colorful,cylinder,medium,,2
RadioBlue,music,electronic,blue,grey,sharp,medium,,1.6
RadioGreen,music,electronic,green,grey,sharp,medium,,1.6
RadioOrange,music,electronic,orange,grey,sharp,medium,,1.6
RadioPurple,music,electronic,purple,grey,sharp,medium,,1.6
RadioPink,music,electronic,pink,grey,sharp,medium,,1.6
RadioRed,music,electronic,red,grey,sharp,medium,,1.6
RadioYellow,music,electronic,yellow,grey,sharp,medium,,1.6
SingleBarNoteBlue,music,text,blue,,flat,small,,1.4
SingleBarNoteGreen,music,text,green,,flat,small,,1.4
SingleBarNoteOrange,music,text,orange,,flat,small,,1.4
SingleBarNotePink,music,text,pink,,flat,small,,1.4
SingleBarNotePurple,music,text,purple,,flat,small,,1.4
SingleBarNoteRed,music,text,red,,flat,small,,1.4
SingleBarNoteYellow,music,text,yellow,,flat,small,,1.4
TambourineBlue,music,school,blue,yellow,circle,medium,,1.7
TambourineGreen,music,school,green,yellow,circle,medium,,1.7
TambourineOrange,music,school,orange,yellow,circle,medium,,1.7
TambourinePink,music,school,pink,yellow,circle,medium,,1.7
TambourinePurple,music,school,purple,yellow,circle,medium,,1.7
TambourineRed,music,school,red,yellow,circle,medium,,1.7
TrebleClefNoteBlue,music,text,blue,,flat,small,,1.8
TrebleClefNoteGreen,music,text,green,,flat,small,,1.8
TrebleClefNoteOrange,music,text,orange,,flat,small,,1.8
TrebleClefNotePink,music,text,pink,,flat,small,,1.8
TrebleClefNotePurple,music,text,purple,,flat,small,,1.8
TrebleClefNoteRed,music,text,red,,flat,small,,1.8
TrebleClefNoteYellow,music,text,yellow,,flat,small,,1.8
TrumpetBlue,music,school,blue,,bar,medium,,2
TrumpetGreen,music,school,green,,bar,medium,,2
TrumpetOrange,music,school,orange,,bar,medium,,2
TrumpetPurple,music,school,purple,,bar,medium,,2
TrumpetPink,music,school,pink,,bar,medium,,2
TrumpetRed,music,school,red,colorful,bar,medium,,2
TrumpetYellow,music,school,yellow,,bar,medium,,2
ViolinBlue,music,school,blue,black,curved,medium,,2.4
ViolinBrown,music,school,brown,black,curved,medium,,2.4
ViolinGreen,music,school,green,black,curved,medium,,2.4
ViolinGrey,music,school,grey,black,curved,medium,,2.4
ViolinOrange,music,school,orange,black,curved,medium,,2.4
ViolinPink,music,school,pink,black,curved,medium,,2.4
ViolinPurple,music,school,purple,black,curved,medium,,2.4
ViolinRed,music,school,red,black,curved,medium,,2.4
ViolinYellow,music,school,yellow,black,curved,medium,,2.4
Xylophone,music,school,colorful,brown,flat,medium,,2
Abacus,school,toy,brown,colorful,flat,medium,,1.4
BackpackBlue,school,sport,blue,,curved,large,,2.3
BackpackGreen,school,sport,green,,curved,large,,2.3
BackpackGrey,school,sport,grey,,curved,large,,2.3
BackpackOrange,school,sport,orange,,curved,large,,2.3
BackpackPink,school,sport,pink,,curved,large,,2.3
BackpackPurple,school,sport,purple,,curved,large,,2.3
BackpackRed,school,sport,red,,curved,large,,2.3
BackpackYellow,school,sport,yellow,,curved,large,,2.3
BoardBlue,school,electronic,blue,,flat,medium,,2
BoardGreen,school,electronic,green,,flat,medium,,2
BoardGrey,school,electronic,grey,,flat,medium,,2
BoardOrange,school,electronic,orange,,flat,medium,,2
BoardPink,school,electronic,pink,,flat,medium,,2
BoardPurple,school,electronic,purple,,flat,medium,,2
BoardRed,school,electronic,red,,flat,medium,,2
BookBlue,school,game,blue,,sharp,medium,,1.9
BookBrown,school,game,brown,,sharp,medium,,1.9
BookGreen,school,game,green,,sharp,medium,,1.9
BookOrange,school,game,orange,,sharp,medium,,1.9
BookPink,school,game,pink,,sharp,medium,,1.9
BookPurple,school,game,purple,,sharp,medium,,1.9
BookRed,school,game,red,,sharp,medium,,1.9
BookYellow,school,game,yellow,,sharp,medium,,1.9
BrushBlue,school,,blue,,bar,small,,2.1
BrushBrown,school,,brown,,bar,small,,2.1
BrushGreen,school,,green,,bar,small,,2.1
BrushGrey,school,,grey,,bar,small,,2.1
BrushOrange,school,,orange,,bar,small,,2.1
BrushPurple,school,,purple,,bar,small,,2.1
BrushRed,school,,red,,bar,small,,2.1
BrushYellow,school,,yellow,,bar,small,,2.1
CalculatorBlue,school,electronic,blue,,sharp,medium,,1.6
CalculatorGreen,school,electronic,green,,sharp,medium,,1.6
CalculatorGrey,school,electronic,grey,,sharp,medium,,1.6
CalculatorOrange,school,electronic,orange,,sharp,medium,,1.6
CalculatorPink,school,electronic,pink,,sharp,medium,,1.6
CalculatorPurple,school,electronic,purple,,sharp,medium,,1.6
CalculatorRed,school,electronic,red,,sharp,medium,,1.6
CalculatorYellow,school,electronic,yellow,,sharp,medium,,1.6
ChairBlue,school,kitchen,blue,brown,circle,medium,,1.5
ChairGreen,school,kitchen,green,brown,circle,medium,,1.5
ChairGrey,school,kitchen,grey,brown,circle,medium,,1.5
ChairOrange,school,kitchen,orange,brown,circle,medium,,1.5
ChairPink,school,kitchen,pink,brown,circle,medium,,1.5
ChairPurple,school,kitchen,purple,brown,circle,medium,,1.5
ChairRed,school,kitchen,red,brown,circle,medium,,1.5
ChairYellow,school,kitchen,yellow,brown,circle,medium,,1.5
DeskBlue,school,kitchen,blue,brown,sharp,large,,2.7
DeskGreen,school,kitchen,green,brown,sharp,large,,2.7
DeskGrey,school,kitchen,grey,brown,sharp,large,,2.7
DeskOrange,school,kitchen,orange,brown,sharp,large,,2.7
DeskPink,school,kitchen,pink,brown,sharp,large,,2.7
DeskPurple,school,kitchen,purple,brown,sharp,large,,2.7
DeskRed,school,kitchen,red,brown,sharp,large,,2.7
DeskYellow,school,kitchen,yellow,brown,sharp,large,,2.7
HighlighterBlue,school,,blue,,bar,small,,1.6
HighlighterGreen,school,,green,,bar,small,,1.6
HighlighterGrey,school,,grey,,bar,small,,1.6
HighlighterOrange,school,,orange,,bar,small,,1.6
HighlighterPink,school,,pink,,bar,small,,1.6
HighlighterPurple,school,,purple,,bar,small,,1.6
HighlighterYellow,school,,yellow,,bar,small,,1.6
NotebookBlue,school,,blue,,flat,medium,,1.3
NotebookGreen,school,,green,,flat,medium,,1.3
NotebookGrey,school,,grey,,flat,medium,,1.3
NotebookOrange,school,,orange,,flat,medium,,1.3
NotebookPink,school,,pink,,flat,medium,,1.3
NotebookPurple,school,,purple,,flat,medium,,1.3
NotebookRed,school,,red,,flat,medium,,1.3
NotebookYellow,school,,yellow,,flat,medium,,1.3
PaperclipBlue,school,toy,blue,,flat,medium,,2
PaperclipGreen,school,toy,green,,flat,medium,,2
PaperclipGrey,school,toy,grey,,flat,medium,,2
PaperclipOrange,school,toy,orange,,flat,medium,,2
PaperclipPink,school,toy,pink,,flat,medium,,2
PaperclipPurple,school,toy,purple,,flat,medium,,2
PaperclipRed,school,toy,red,,flat,medium,,2
PaperclipYellow,school,toy,yellow,,flat,medium,,2
PencilBlue,school,game,blue,,bar,small,,1.5
PencilGreen,school,game,green,,bar,small,,1.5
PencilGrey,school,game,grey,,bar,small,,1.5
PencilOrange,school,game,orange,,bar,small,,1.5
PencilPurple,school,game,purple,,bar,small,,1.5
PencilRed,school,game,red,,bar,small,,1.5
PencilStriped,school,game,yellow,black,bar,small,,1.5
PencilYellow,school,game,yellow,,bar,small,,1.5
RulerBlue,school,game,blue,,flat,small,,2
RulerBrown,school,game,brown,,flat,small,,2
RulerGreen,school,game,green,,flat,small,,2
RulerGrey,school,game,grey,,flat,small,,2
RulerOrange,school,game,orange,,flat,small,,2
RulerPink,school,game,pink,,flat,small,,2
RulerPurple,school,game,purple,,flat,small,,2
RulerRed,school,game,red,,flat,small,,2
RulerYellow,school,game,yellow,,flat,small,,2
ScissorsBlue,school,kitchen,blue,grey,flat,medium,,1.8
ScissorsGreen,school,kitchen,green,grey,flat,medium,,1.8
ScissorsOrange,school,kitchen,orange,grey,flat,medium,,1.8
ScissorsPink,school,kitchen,pink,grey,flat,medium,,1.8
ScissorsPurple,school,kitchen,purple,grey,flat,medium,,1.8
ScissorsRed,school,kitchen,red,grey,flat,medium,,1.8
ScissorsYellow,school,kitchen,yellow,grey,flat,medium,,1.8
BreadBrown,food,bakery,brown,brown,flat,medium,,1.6
BreadOrange,food,bakery,orange,brown,flat,medium,,1.6
BreadRed,food,bakery,red,brown,flat,medium,,1.6
BreadWhite,food,bakery,white,brown,flat,medium,,1.6
BreadYellow,food,bakery,yellow,brown,flat,medium,,1.6
CakeBrown,food,bakery,brown,,sharp,medium,,1.8
CakePink,food,bakery,pink,brown,sharp,medium,,1.8
CakeRainbowBlue,food,bakery,white,brown,sharp,medium,,1.8
CakeRainbowPink,food,bakery,white,brown,sharp,medium,,1.8
CakeWhite,food,bakery,white,brown,sharp,medium,,1.8
CakeYellow,food,bakery,yellow,brown,sharp,medium,,1.8
CanTossBlue,food,fruit,blue,,cylinder,large,,1.7
CanTossBrown,food,fruit,brown,,cylinder,large,,1.7
CanTossGreen,food,fruit,green,,cylinder,large,,1.7
CanTossGrey,food,fruit,grey,,cylinder,large,,1.7
CanTossOrange,food,fruit,orange,,cylinder,large,,1.7
CanTossPurple,food,fruit,purple,,cylinder,large,,1.7
CanTossRed,food,fruit,red,,cylinder,large,,1.7
CanTossYellow,food,fruit,yellow,,cylinder,large,,1.7
CandyBlue,food,junkfood,blue,white,circle,small,,1.8
CandyGreen,food,junkfood,green,white,circle,small,,1.8
CandyOrange,food,junkfood,orange,white,circle,small,,1.8
CandyPink,food,junkfood,pink,white,circle,small,,1.8
CandyPurple,food,junkfood,purple,white,circle,small,,1.8
CandyRed,food,junkfood,red,white,circle,small,,1.8
CandyYellow,food,junkfood,yellow,white,circle,small,,1.8
CerealBlue,food,junkfood,blue,,sharp,large,,2.1
CerealBrown,food,junkfood,brown,,sharp,large,,2.1
CerealGreen,food,junkfood,green,,sharp,large,,2.1
CerealPink,food,junkfood,pink,,sharp,large,,2.1
CerealPurple,food,junkfood,purple,,sharp,large,,2.1
CerealRed,food,junkfood,red,,sharp,large,,2.1
CerealYellow,food,junkfood,yellow,,sharp,large,,2.1
Cheese,food,junkfood,yellow,,sharp,medium,,1.5
ChocolateBarBlue,food,bakery,blue,brown,flat,medium,,1.9
ChocolateBarGreen,food,bakery,green,brown,flat,medium,,1.9
ChocolateBarPink,food,bakery,pink,brown,flat,medium,,1.9
ChocolateBarRed,food,bakery,red,brown,flat,medium,,1.9
ChocolateBarYellow,food,bakery,yellow,brown,flat,medium,,1.9
ChocolateBarWhiteBlue,food,bakery,blue,white,flat,medium,,1.9
ChocolateBarWhiteGreen,food,bakery,green,white,flat,medium,,1.9
ChocolateBarWhitePink,food,bakery,pink,white,flat,medium,,1.9
ChocolateBarWhiteRed,food,bakery,red,white,flat,medium,,1.9
ChocolateBarWhiteYellow,food,bakery,yellow,white,flat,medium,,1.9
CookieBlack,food,bakery,brown,,circle,small,,1.4
CookieBrown,food,bakery,brown,,circle,small,,1.4
CookieRainbow,food,bakery,colorful,brown,circle,small,,1.4
CookieRed,food,bakery,red,,circle,small,,1.4
CookieWhite,food,bakery,white,brown,circle,small,,1.4
Croissant,food,bakery,brown,,curved,large,,2.6
CupcakeBlue,food,bakery,blue,,curved,medium,,1.5
CupcakeBrown,food,bakery,brown,,curved,medium,,1.5
CupcakePink,food,bakery,pink,,curved,medium,,1.5
CupcakePurple,food,bakery,purple,,curved,medium,,1.5
CupcakeRainbow,food,bakery,colorful,brown,curved,medium,,1.5
CupcakeRed,food,bakery,red,white,curved,medium,,1.5
CupcakeYellow,food,bakery,yellow,,curved,medium,,1.5
CuteBreadBrown,food,toy,brown,,sharp,large,,2.4
CuteBreadWhite,food,toy,white,brown,sharp,large,,2.4
DoughnutParticleBlue,food,bakery,blue,brown,circle,medium,,1.7
DoughnutParticleBrown,food,bakery,brown,brown,circle,medium,,1.7
DoughnutParticleGreen,food,bakery,green,brown,circle,medium,,1.7
DoughnutParticleOrange,food,bakery,orange,brown,circle,medium,,1.7
DoughnutParticlePink,food,bakery,pink,brown,circle,medium,,1.7
DoughnutParticlePurple,food,bakery,purple,brown,circle,medium,,1.7
DoughnutParticleWhite,food,bakery,white,brown,circle,medium,,1.7
DoughnutParticleYellow,food,bakery,yellow,brown,circle,medium,,1.7
DoughnutStripedBlue,food,bakery,blue,brown,circle,medium,,1.7
DoughnutStripedBrown,food,bakery,brown,brown,circle,medium,,1.7
DoughnutStripedGreen,food,bakery,green,brown,circle,medium,,1.7
DoughnutStripedOrange,food,bakery,orange,brown,circle,medium,,1.7
DoughnutStripedPink,food,bakery,pink,brown,circle,medium,,1.7
DoughnutStripedPurple,food,bakery,purple,brown,circle,medium,,1.7
DoughnutStripedWhite,food,bakery,white,brown,circle,medium,,1.7
DoughnutStripedYellow,food,bakery,yellow,brown,circle,medium,,1.7
EggBlue,food,bakery,blue,,sphere,small,,1.2
EggBrown,food,bakery,brown,,sphere,small,,1.2
EggGreen,food,bakery,green,,sphere,small,,1.2
EggPink,food,bakery,pink,,sphere,small,,1.2
EggPurple,food,bakery,purple,,sphere,small,,1.2
EggRed,food,bakery,red,,sphere,small,,1.2
EggWhite,food,bakery,white,,sphere,small,,1.2
EggYellow,food,bakery,yellow,,sphere,small,,1.2
Fries,food,junkfood,red,yellow,mix,medium,,1.6
GumBlue,food,junkfood,blue,,sharp,small,,1.2
GumGreen,food,junkfood,green,,sharp,small,,1.2
GumPink,food,junkfood,pink,,sharp,small,,1.2
GumPurple,food,junkfood,purple,,sharp,small,,1.2
GumRed,food,junkfood,red,,sharp,small,,1.2
GumYellow,food,junkfood,yellow,,sharp,small,,1.2
Hamburger,food,junkfood,brown,,circle,large,,1.8
HotDog,food,junkfood,brown,,cylinder,medium,,2.3
IceCreamBlue,food,junkfood,blue,brown,cylinder,medium,,2
IceCreamBrown,food,junkfood,brown,brown,cylinder,medium,,2
IceCreamPink,food,junkfood,pink,brown,cylinder,medium,,2
IceCreamPurple,food,junkfood,purple,brown,cylinder,medium,,2
IceCreamRainbow,food,junkfood,colorful,brown,cylinder,medium,,2
IceCreamWhite,food,junkfood,white,brown,cylinder,medium,,2
LollipopBlue,food,junkfood,blue,,sphere,small,,1.4
LollipopGreen,food,junkfood,green,,sphere,small,,1.4
LollipopOrange,food,junkfood,orange,,sphere,small,,1.4
LollipopPink,food,junkfood,pink,,sphere,small,,1.4
LollipopPurple,food,junkfood,purple,,sphere,small,,1.4
LollipopRed,food,junkfood,red,,sphere,small,,1.4
LollipopYellow,food,junkfood,yellow,,sphere,small,,1.4
MacaronBlue,food,bakery,blue,,circle,small,,0.9
MacaronBrown,food,bakery,brown,,circle,small,,0.9
MacaronGreen,food,bakery,green,,circle,small,,0.9
MacaronGrey,food,bakery,grey,,circle,small,,0.9
MacaronOrange,food,bakery,orange,,circle,small,,0.9
MacaronPink,food,bakery,pink,,circle,small,,0.9
MacaronPurple,food,bakery,purple,,circle,small,,0.9
MacaronRed,food,bakery,red,,circle,small,,0.9
MacaronWhite,food,bakery,white,,circle,small,,0.9
MacaronYellow,food,bakery,yellow,,circle,small,,0.9
MakiGreen,food,junkfood,green,black,circle,small,,1
MakiOrange,food,junkfood,orange,black,circle,small,,1
Noodle,food,junkfood,white,,mix,large,,2
Onigiri,food,junkfood,white,black,curved,medium,,1.5
Pizza,food,junkfood,brown,,flat,medium,,1.6
PopsicleFlatBlue,food,bakery,blue,,curved,medium,,2
PopsicleFlatGreen,food,bakery,green,,curved,medium,,2
