Date,Day,Video #,Videolink,Video Length,Timestamp,Timelink,Tag,Action,Attempt,Level,Result Level,Coins,Coins Balance,Spring,Spring Balance,Vacuum,Vacuum Balance,Fan,Fan Balance,Icegun,Icegun Balance,Firework,Firework Balance,Hourglass,Hourglass Balance,Coins in $,Boosters in $,Coins in $ + Boosters in $
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:02:23,0:02:23,Level,Finish,4,4,Win,,100,,0,,3,,0,,0,,0,,0,1.99,5.77,7.76
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:02:33,0:02:33,Menu,Unlock booster,,4,,,100,3,3,,3,,0,,0,,0,,0,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:02:37,0:02:37,Level,Start,,5,,,100,,3,,3,,0,,0,,0,,0,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:02:44,0:02:44,Level,Use,,5,,,100,,3,,3,,0,,0,,0,,0,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:03:08,0:03:08,Level,Finish,5,5,Win,,100,,3,,3,,0,,0,,0,,0,1.99,8.16,10.15
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:03:20,0:03:20,Level,Start,,6,,,100,,3,,3,,0,,0,,0,,0,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:03:51,0:03:51,Level,Finish,6,6,Win,,100,,3,,3,,0,,0,,0,,0,1.99,8.16,10.15
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:04:02,0:04:02,Menu,Unlock booster,,6,,,100,,3,,3,3,3,,0,,0,,0,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:04:05,0:04:05,Level,Start,,7,,,100,,3,,3,,3,,0,,0,,0,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:04:09,0:04:09,Level,Use,,7,,,100,,3,,3,,3,,0,,0,,0,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:05:00,0:05:00,Level,Finish,7,7,Win,,100,,3,,3,,3,,0,,0,,0,1.99,11.94,13.93
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:05:12,0:05:12,Menu,Star Chest,,7,,10,110,,3,,3,1,4,,0,,0,,0,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:05:19,0:05:19,Level,Start,,8,,,110,,3,,3,,4,,0,,0,,0,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:05:56,0:05:56,Level,Finish,8,8,Win,,110,,3,,3,,4,,0,,0,,0,2.19,13.20,15.39
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:06:07,0:06:07,Menu,Unlock booster,,8,,,110,,3,,3,,4,3,3,,0,,0,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:06:11,0:06:11,Level,Start,,9,,,110,,3,,3,,4,,3,,0,,0,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:06:14,0:06:14,Level,Use,,9,,,110,,3,,3,,4,,3,,0,,0,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:07:07,0:07:07,Level,Finish,9,9,Win,,110,,3,,3,,4,,3,,0,,0,2.19,17.98,20.16
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:07:16,0:07:16,Menu,Level Chest,,9,,30,140,1,4,,3,,4,,3,,0,1,1,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:07:24,0:07:24,Level,Start,,10,,,140,,4,,3,,4,,3,,0,,1,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:07:55,0:07:55,Level,Finish,10,10,Win,,140,,4,,3,,4,,3,,0,,1,2.79,20.36,23.15
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:08:08,0:08:08,Menu,Unlock booster,,10,,,140,,4,,3,,4,,3,3,3,,1,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:08:09,0:08:09,Level,Use,,11,,,140,,4,,3,,4,,3,,3,,1,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:08:10,0:08:10,Level,Start,,11,,,140,,4,,3,,4,,3,,3,,1,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:08:41,0:08:41,Level,Finish,11,11,Win,,140,,4,,3,,4,,3,,3,,1,2.79,22.75,25.54
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:08:53,0:08:53,Level,Start,,12,,,140,,4,,3,,4,,3,,3,,1,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:09:58,0:09:58,Level,Finish,12,12,Win,,140,,4,,3,,4,,3,,3,,1,2.79,22.75,25.54
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:10:09,0:10:09,Menu,Unlock booster,,12,,,140,,4,,3,,4,,3,,3,3,4,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:10:10,0:10:10,Level,Use,,13,,,140,,4,,3,,4,,3,,3,,4,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:10:11,0:10:11,Level,Start,,13,,,140,,4,,3,,4,,3,,3,,4,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:10:38,0:10:38,Level,Finish,13,13,Win,,140,,4,,3,,4,,3,,3,,4,2.79,27.53,30.31
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:10:51,0:10:51,Level,Start,,14,,,140,,4,,3,,4,,3,,3,,4,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:11:31,0:11:31,Level,Finish,14,14,Win,,140,,4,,3,,4,,3,,3,,4,2.79,27.53,30.31
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:11:41,0:11:41,Menu,Star Chest,,14,,10,150,,4,,3,1,5,,3,1,4,,4,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:11:47,0:11:47,Menu,New,,,,,150,,4,,3,,5,,3,,4,,4,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:12:09,0:12:09,Level,Start,,15,,,150,,4,,3,,5,,3,,4,,4,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:13:09,0:13:09,Level,Finish,15,15,Win,,150,,4,,3,,5,,3,,4,,4,2.99,29.58,32.57
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:13:19,0:13:19,Event,Reward,,,,,150,,4,,3,,5,,3,,4,,4,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:13:25,0:13:25,Level,Start,,16,,,150,,4,,3,,5,,3,,4,,4,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:14:27,0:14:27,Level,Finish,16,16,Win,,150,,4,,3,,5,,3,,4,,4,2.99,29.58,32.57
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:14:40,0:14:40,Level,Start,,17,,,150,,4,,3,,5,,3,,4,,4,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:15:53,0:15:53,Level,Finish,17,17,Win,,150,,4,,3,,5,,3,,4,,4,2.99,29.58,32.57
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:16:06,0:16:06,Level,Start,,18,,,150,,4,,3,,5,,3,,4,,4,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:17:14,0:17:14,Level,Finish,18,18,Win,,150,,4,,3,,5,,3,,4,,4,2.99,29.58,32.57
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:17:29,0:17:29,Menu,New,,,,,150,,4,,3,,5,,3,,4,,4,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:17:30,0:17:30,Level,Start,,19,,,150,,4,,3,,5,,3,,4,,4,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:18:29,0:18:29,Level,Finish,19,19,Win,,150,,4,,3,,5,,3,,4,,4,2.99,29.58,32.57
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:18:41,0:18:41,Menu,Level Chest,,19,,10,160,,4,,3,,5,1,4,,4,,4,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:18:46,0:18:46,Menu,New,,,,,160,,4,,3,,5,,4,,4,,4,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:20:24,0:20:24,Team,Help,,,,1,161,,4,,3,,5,,4,,4,,4,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:20:31,0:20:31,Level,Start,,20,,,161,,4,,3,,5,,4,,4,,4,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:21:32,0:21:32,Level,Finish,20,20,Win,,161,,4,,3,,5,,4,,4,,4,3.20,31.18,34.38
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:21:42,0:21:42,Event,Reward,,,,20,181,,4,,3,,5,,4,,4,,4,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:21:46,0:21:46,Menu,New,,,,,181,,4,,3,,5,,4,,4,,4,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:21:49,0:21:49,Menu,Daily,,,,,181,,4,,3,,5,,4,1,5,,4,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:22:03,0:22:03,Level,Start,,21,,,181,,4,,3,,5,,4,,5,,4,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:23:21,0:23:21,Level,Finish,21,21,Win,,181,,4,,3,,5,,4,,5,,4,3.60,31.97,35.57
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:23:34,0:23:34,Menu,Star Chest,,21,,10,191,,4,,3,,5,1,5,,5,,4,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:23:40,0:23:40,Level,Start,,22,,,191,,4,,3,,5,,5,,5,,4,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:24:18,0:24:18,Level,Finish,22,22,Win,,191,,4,,3,,5,,5,,5,,4,3.80,33.56,37.36
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:24:31,0:24:31,Level,Start,,23,,,191,,4,,3,,5,,5,,5,,4,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:26:32,0:26:32,Level,Finish,23,23,Win,,191,,4,,3,,5,,5,,5,,4,3.80,33.56,37.36
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:26:45,0:26:45,Menu,New,,,,,191,,4,,3,,5,,5,,5,,4,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:26:47,0:26:47,Menu,New,,,,,191,,4,,3,,5,,5,,5,,4,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:26:50,0:26:50,Level,Start,,24,,,191,,4,,3,,5,,5,,5,,4,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:28:02,0:28:02,Level,Finish,24,24,Win,,191,,4,,3,,5,,5,,5,,4,3.80,33.56,37.36
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:28:14,0:28:14,Level,Start,,25,,,191,,4,,3,,5,,5,,5,,4,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:29:25,0:29:25,Level,Finish,25,25,Win,,191,,4,,3,,5,,5,,5,,4,3.80,33.56,37.36
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:29:36,0:29:36,Event,Reward,,,,,191,,4,,3,,5,,5,,5,,4,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:29:40,0:29:40,Level,Start,,26,,,191,,4,,3,,5,,5,,5,,4,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:31:24,0:31:24,Level,Finish,26,26,Win,,191,,4,,3,,5,,5,,5,,4,3.80,33.56,37.36
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:31:37,0:31:37,Level,Start,,27,,,191,,4,,3,,5,,5,,5,,4,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:34:00,0:34:00,Level,Finish,27,27,Win,,191,,4,,3,,5,,5,,5,,4,3.80,33.56,37.36
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:34:15,0:34:15,Level,Start,,28,,,191,,4,,3,,5,,5,,5,,4,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:35:33,0:35:33,Level,Finish,28,28,Win,,191,,4,,3,,5,,5,,5,,4,3.80,33.56,37.36
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:35:46,0:35:46,Level,Start,,29,,,191,,4,,3,,5,,5,,5,,4,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:37:03,0:37:03,Level,Finish,29,29,Win,,191,,4,,3,,5,,5,,5,,4,3.80,33.56,37.36
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:37:11,0:37:11,Menu,Level Chest,,29,,10,201,,4,,3,1,6,,5,,5,,4,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:37:15,0:37:15,Event,Reward,,,,,201,1,5,,3,,6,,5,,5,,4,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:37:21,0:37:21,Menu,New,,,,,201,,5,,3,,6,,5,,5,,4,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:37:22,0:37:22,Level,Start,,30,,,201,,5,,3,,6,,5,,5,,4,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:38:39,0:38:39,Level,Finish,30,30,Win,,201,,5,,3,,6,,5,,5,,4,4.00,35.62,39.62
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:38:50,0:38:50,Menu,Star Chest,,30,,20,221,1,6,,3,,6,,5,,5,,4,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:39:17,0:39:17,Menu,New,,,,,221,,6,,3,,6,,5,,5,,4,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:39:28,0:39:28,Event,Reward,,,,,221,,6,,3,,6,,5,,5,,4,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:39:34,0:39:34,Level,Start,,31,,,221,,6,,3,,6,,5,,5,,4,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:40:59,0:40:59,Level,Finish,31,31,Win,,221,,6,,3,,6,,5,,5,,4,4.40,36.42,40.81
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:41:15,0:41:15,Level,Start,,32,,,221,,6,,3,,6,,5,,5,,4,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:43:13,0:43:13,Level,Finish,32,32,Win,,221,,6,,3,,6,,5,,5,,4,4.40,36.42,40.81
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:43:30,0:43:30,Level,Start,,33,,,221,,6,,3,,6,,5,,5,,4,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:45:42,0:45:42,Level,Finish,33,33,Win,,221,,6,,3,,6,,5,,5,,4,4.40,36.42,40.81
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:45:55,0:45:55,Level,Start,,34,,,221,,6,,3,,6,,5,,5,,4,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:47:51,0:47:51,Level,Finish,34,34,Win,,221,,6,,3,,6,,5,,5,,4,4.40,36.42,40.81
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:48:05,0:48:05,Level,Start,,35,,,221,,6,,3,,6,,5,,5,,4,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:49:13,0:49:13,Level,Finish,35,35,Win,,221,,6,,3,,6,,5,,5,,4,4.40,36.42,40.81
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:49:39,0:49:39,Level,Start,,36,,,221,,6,,3,,6,,5,,5,,4,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:52:04,0:52:04,Level,Finish,36,36,Win,,221,,6,,3,,6,,5,,5,,4,4.40,36.42,40.81
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:52:21,0:52:21,Level,Start,,37,,,221,,6,,3,,6,,5,,5,,4,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:53:35,0:53:35,Level,Finish,37,37,Win,,221,,6,,3,,6,,5,,5,,4,4.40,36.42,40.81
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:53:48,0:53:48,Event,Reward,,,,,221,,6,,3,,6,,5,,5,,4,,,
02/14/24,1,1,https://youtu.be/sKl1rFmA8E8?list=PLI7hZ4WIZWHN_jjjx4kziE-p557HJaQyz,0:59:49,0:53:51,0:53:51,Level,Start,,38,,,221,,6,,3,,6,,5,,5,,4,,,
